Horas_Jogadas,Avaliacao_Usuarios,Jogadores_Online,Popularidade,Genero_Jogo,Preco_Jogo,Avaliacao_Critica,Vendas_Totais
38.07,4.36,12095,76.27,Estratégia,74.66,9.27,38700.0
95.09,4.0,34027,48.57,Estratégia,66.34,8.99,79046.0
73.45,2.59,12653,60.71,Aventura,20.18,9.26,453926.0
60.25,6.47,33814,73.06,Simulação,,7.63,19141.0
16.44,5.29,25846,75.21,Ação,37.81,7.2,124473.0
16.44,8.79,18720,44.6,RPG,68.92,7.58,183633.0
6.75,1.29,49124,45.56,Ação,12.89,7.89,181170.0
86.73,6.79,14591,70.74,Simulação,49.87,9.07,24775.0
60.49,7.87,40770,67.21,RPG,96.78,5.21,156234.0
71.08,7.84,21024,58.39,Estratégia,,7.54,93485.0
3.04,8.97,48250,50.72,Aventura,29.93,7.95,60501.0
96.99,7.56,39855,51.76,Aventura,89.11,8.73,17810.0
83.39,9.35,1236,31.11,Simulação,36.38,6.77,79248.0
22.02,3.99,7836,69.92,Simulação,86.69,7.33,182544.0
19.0,5.53,16057,51.8,Aventura,75.63,7.04,38258.0
19.15,1.13,4209,19.79,RPG,41.69,7.65,122235.0
31.11,1.06,3402,21.12,RPG,91.96,6.38,84709.0
52.94,3.16,10611,71.6,Ação,53.68,8.16,52323.0
43.75,1.91,22475,52.45,Estratégia,38.6,7.79,116782.0
29.82,3.34,46332,34.01,RPG,35.18,5.09,95181.0
61.56,2.59,24937,16.83,Estratégia,94.51,5.5,10064.0
14.81,1.26,24876,51.19,Simulação,,6.94,146818.0
29.91,9.18,41510,16.61,RPG,41.49,10.0,180024.0
37.26,1.07,26017,39.82,RPG,32.88,6.8,73070.0
46.14,7.62,15186,56.65,RPG,29.05,5.71,54184.0
78.71,2.37,47808,47.55,Ação,32.01,6.17,124488.0
20.76,9.21,30545,76.51,Simulação,20.0,7.94,43209.0
51.89,9.04,1652,4.87,Aventura,53.63,9.54,102152.0
59.63,6.89,33391,24.36,Ação,13.71,6.26,124382.0
5.6,7.05,28330,6.28,Ação,11.05,7.48,57995.0
61.13,1.05,20418,17.44,RPG,65.62,6.4,38519.0
17.88,9.86,14121,11.71,Ação,17.97,8.12,161794.0
7.44,8.9,8646,61.13,Aventura,86.06,6.41,103101.0
94.91,9.06,9655,31.63,Ação,19.61,8.32,143187.0
96.57,6.93,15418,76.75,Ação,58.84,3.33,138131.0
81.01,4.1,25899,3.54,RPG,70.79,8.1,32305.0
31.15,9.04,2876,54.66,Simulação,30.63,6.79,141123.0
10.67,3.62,11431,80.45,Aventura,89.94,7.91,14466.0
68.72,6.06,13215,15.92,RPG,53.33,6.98,170244.0
44.56,1.9,49989,37.57,Ação,38.38,5.26,130712.0
13.08,9.3,18642,58.63,Aventura,91.09,7.27,50409.0
50.01,2.27,37010,53.05,Estratégia,87.24,8.15,88751.0
4.4,3.02,16804,47.6,Ação,73.86,7.35,2775.0
91.0,6.02,17124,28.17,Simulação,36.15,4.86,73929.0
26.61,7.88,22655,60.77,Ação,45.12,7.29,22504.0
66.57,6.57,44673,54.68,Simulação,,7.72,17323.0
31.85,3.09,25103,14.86,Estratégia,26.68,6.37,126092.0
52.47,1.01,2411,79.92,RPG,54.56,2.58,106534.0
55.11,7.81,44390,46.76,RPG,76.39,6.25,106775.0
19.3,9.87,35602,44.31,RPG,69.19,5.12,55296.0
96.96,8.29,19410,70.52,Aventura,74.79,6.82,114558.0
77.71,5.14,6738,53.64,Simulação,90.26,5.13,182071.0
93.98,9.13,5995,7.69,Ação,97.14,5.08,74926.0
89.56,4.69,44873,42.78,Aventura,51.26,8.09,158831.0
60.17,5.72,48167,65.02,Aventura,15.41,7.2,164768.0
92.24,5.29,32249,58.48,Ação,85.08,7.68,69716.0
9.76,5.03,29823,80.47,Estratégia,20.62,6.13,187055.0
20.4,7.98,4215,3.66,RPG,29.76,6.26,195286.0
5.48,5.74,44125,22.85,Estratégia,68.78,6.03,103449.0
33.2,3.85,30497,46.23,Estratégia,77.11,6.22,-5762.0
39.47,3.32,7210,51.94,RPG,72.51,6.29,103412.0
27.86,1.34,10646,23.92,Estratégia,49.47,5.51,33287.0
83.02,6.25,7455,68.78,Aventura,92.62,5.92,711851.0
36.31,3.07,12095,14.99,Ação,84.89,7.24,73367.0
28.8,2.33,47511,1.71,Aventura,69.73,5.5,172727.0
54.71,6.88,12265,78.97,Aventura,49.7,7.44,165081.0
14.95,7.13,1307,33.43,Simulação,51.75,4.67,-4564.0
80.39,7.77,35154,79.39,RPG,25.84,7.4,179184.0
8.38,5.53,33023,24.21,RPG,80.17,6.85,174745.0
98.67,9.05,18960,6.79,Aventura,87.93,7.43,69758.0
77.43,9.43,1874,64.37,RPG,84.45,7.43,45759.0
20.67,8.27,42130,69.51,Simulação,59.24,5.47,171153.0
1.55,6.72,22964,41.6,Ação,85.41,7.04,123968.0
81.71,3.73,43565,7.64,Estratégia,81.13,5.31,169674.0
70.96,9.85,18416,54.76,RPG,84.91,6.36,120317.0
73.15,3.47,10928,16.43,Aventura,98.36,8.33,100563.0
77.33,2.82,49261,70.61,RPG,82.89,5.52,190117.0
8.33,4.98,40675,23.89,Aventura,34.37,6.88,41507.0
36.48,1.51,38212,70.47,Estratégia,83.87,5.78,111938.0
12.47,9.81,16292,36.31,RPG,43.81,7.41,51364.0
